アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同行者,宿泊数（全行程）,宿泊エリア（県外）,宿泊数（県内）,宿泊市町村(1泊目),食事の組み合わせ（1泊目）,宿泊市町村(2泊目),食事の組み合わせ（2泊目）,宿泊市町村(3泊目),食事の組み合わせ（3泊目）,宿泊市町村(4泊目),食事の組み合わせ（4泊目）,交通手段（来県）,交通手段（県内）,満足度（交通）,来県回数,訪問目的,情報源（デジタル）,情報源（デジタル以外）,比較した都道府県の有無,比較した都道府県,比較した都道府県の観光地,消費金額（交通費）,消費金額（飲食費）,消費金額（宿泊費）,消費金額（買い物（工芸品・特産品等）費）,消費金額（観光・体験費）,訪問場所,訪問した寿司店形態,訪問したます寿し店形態,海の幸（食べた）,海の幸（感動した）,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所
2025/11/4,千葉県,女性,70代,専業主婦・主夫,4: 1000〜2000万円,夫婦,2泊,富山県以外には宿泊しない,2泊,富山市,朝食のみ,富山市,朝食のみ,,,,,"新幹線, 飛行機","在来線・私鉄・路面電車, 徒歩",満足,１回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光, 文化施設の見学・体験（美術館・博物館など）","宿泊施設のウェブサイト, 宿泊予約Webサイト","富山県観光公式のパンフレット, 旅行ガイドブック",ない,,,"5,000円以上10,000円未満","10,000円以上20,000円未満","40,000円以上50,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","岩瀬エリア, 富山市ガラス美術館, 富山城, 富岩運河環水公園",専門店,専門店,"ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, ゲンゲ, バイガイ","ブリ, 紅ズワイガニ, バイガイ",大いに満足,満足,満足,満足,満足,食べ物がおいしかった,予約が必要なのを知らなくて無駄な時間がかった　。,すし,富山ガラス美術館,10,機会があれば行きたい,飲食店で予約が必要だと一言教えて欲しかった,富山市
2025/11/4,富山県,女性,50代,パート・アルバイト,2: 300〜599万円,大人の家族（18歳以上の子供含む）,1泊,石川県,日帰り,,,,,,,,,自家用車,自家用車,普通,２回目,"温泉や露天風呂, 地元の美味しいものを食べる",宿泊施設のウェブサイト,雑誌の特集記事,ない,,,"3,000円以上5,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","雨晴海岸, 氷見",食べていない,食べていない,"フクラギ（イナダ、ハマチ）, 甘エビ","フクラギ（イナダ、ハマチ）, 甘エビ",満足,満足,普通,普通,満足,感動したから,,お刺身,,10,来年もまた行きたい,,氷見市
2025/11/4,富山県,女性,70代,専業主婦・主夫,6: 無回答,友人・知人,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,自家用車,満足,１回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる","富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト",口コミ（友人・恋人）,ない,,,"1,000円未満","1,000円以上3,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満","5,000円以上10,000円未満",雨晴海岸,食べていない,食べていない,"フクラギ（イナダ、ハマチ）, 甘エビ","ブリ, 甘エビ",大いに満足,大いに満足,満足,普通,普通,食べ物も美味しく　ゆったりできた,無し,海鮮物,雨晴海岸からの立山が素晴らしかった,5,富山県在住,交通手段が少ない,氷見市
2025/11/5,富山県,女性,60代,パート・アルバイト,2: 300〜599万円,夫婦,1泊,石川県,1泊,黒部市,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,自家用車,普通,２回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",宿泊施設のウェブサイト,"口コミ（友人・恋人）, テレビ番組",ない,,,"10,000円以上20,000円未満","1,000円以上3,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満",宇奈月温泉,持ち帰り（道の駅・スーパーなど）,持ち帰り（道の駅・スーパーなど）,"ブリ, 紅ズワイガニ, 甘エビ","ブリ, 紅ズワイガニ, 甘エビ",満足,満足,普通,普通,満足,ゆっくり出来た,施設が早く閉まる,肴,紅葉,6,富山県在住,寿司がお手頃であって欲しい,氷見市
2025/11/5,東京都,女性,40代,その他教員,2: 300〜599万円,職場や学校の仲間（団体旅行・ツアー）,3泊,大分,3泊,高岡市,朝食のみ,,,,,,,新幹線,タクシー,普通,１回目,お祭りやイベントへの参加・見物,Instagram,観光展・物産展,ない,,,"10,000円以上20,000円未満","10,000円以上20,000円未満",使わない,"5,000円以上10,000円未満","10,000円以上20,000円未満","海王丸パーク, 国宝 高岡山瑞龍寺",居酒屋・レストラン（地元）,食べていない,"シロエビ, ホタルイカ",シロエビ,大いに満足,満足,満足,満足,満足,人が温かい,なし,海鮮,全て,10,来年もまた行きたい,ローカルな お土産屋,富山市
2025/11/5,京都府,女性,50代,会社員,3: 600〜1000万円,夫婦,1泊,富山県以外には宿泊しない,1泊,富山市,朝食のみ,,,,,,,自家用車,自家用車,普通,１回目,"宿でのんびり過ごす, 地元の美味しいものを食べる","Instagram, 富山県観光公式サイト「とやま観光ナビ」","口コミ（友人・恋人）, テレビ番組, 雑誌の特集記事",ない,,,"1,000円未満","10,000円以上20,000円未満","20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","富山城,",回転寿司店（地元）,駅（売店・自販機など）,"ブリ, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ","ブリ, シロエビ",大いに満足,満足,満足,満足,満足,,,,,10,機会があれば行きたい,,富山市
2025/11/5,大阪府,女性,60代,専業主婦・主夫,2: 300〜599万円,夫婦,2泊,福井県,1泊,富山市,朝食のみ,,,,,,,自家用車,"自家用車, 在来線・私鉄・路面電車",大いに満足,２回目,"地元の美味しいものを食べる, まちあるき、都市散策各種体験（手作り、果物狩りなど）, スキルアップや視野を広げるための研修・セミナーに参加する","富山県観光公式サイト「とやま観光ナビ」, 宿泊施設のウェブサイト, 宿泊予約Webサイト",富山県観光公式のパンフレット,ない,,,"20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","雨晴海岸, 富山城",食べていない,食べていない,"フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, ホタルイカ, 牡蠣","紅ズワイガニ, シロエビ, ホタルイカ",大いに満足,満足,大いに満足,大いに満足,大いに満足,息子に勧められ雨晴海岸に行きましたが 景色も素晴らしかったし 道の駅の施設もスタッフの応対もよかったです,気候が変わりやすく一山越えると雨がひどく降ったり地元の方の苦労が思われました。 また米どころだなと田畑を見て思いました,ベニズワイガニと昆布を使ったお料理,雨晴海岸,9,機会があれば行きたい,道の駅越前のお風呂は景色がすばらしいです,富山市
2025/11/5,大阪府,男性,70代,パート・アルバイト,6: 無回答,夫婦,2泊,石川県,1泊,富山市,朝食のみ,,,,,,,自家用車,在来線・私鉄・路面電車,満足,２回目,"宿でのんびり過ごす, 地元の美味しいものを食べる, 文化施設の見学・体験（美術館・博物館など）",富山県観光公式サイト「とやま観光ナビ」,口コミ（友人・恋人）,ない,,,"30,000円以上40,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","雨晴海岸, 海王丸パーク, 新湊大橋, 富山城",食べていない,食べていない,"ブリ, 紅ズワイガニ, シロエビ, ホタルイカ, バイガイ",シロエビ,満足,大いに満足,普通,満足,満足,宿屋、料理屋の、全てのスタッフ,特になし,白エビの天麩羅,雨晴海岸,4,機会があれば行きたい,市電を残し続けて下さい,富山市
2025/11/5,埼玉県,女性,70代,専業主婦・主夫,2: 300〜599万円,夫婦,3泊,石川県,1泊,富山市,朝食のみ,,,,,,,自家用車,"自家用車, 徒歩",大いに満足,１０回目以上,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト","テレビ番組, 旅行ガイドブック",ない,,,"20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","20,000円以上30,000円未満","1,000円以上3,000円未満","雨晴海岸, 海王丸パーク, 新湊大橋, 新湊きっときと市場, 高岡大仏, 富岩運河環水公園",回転寿司店（地元）,食べていない,"ブリ, 紅ズワイガニ, シロエビ, ウマヅラハギ","シロエビ, 甘エビ, ウマヅラハギ",満足,満足,普通,満足,満足,アンポ柿を買えましたし、お寿司、会席料理も美味しく頂きました。,いつもどうりで不満無しです,矢張りお寿司が美味しかったです。,会席料理のお店が良かったです。,8,来年もまた行きたい,富山の蟹を美味しく食べたいです。通販と同じではなく、茹でたてとか。以前キトキト市場で茹でたて食べましたが、7500円でしたが、通販で、充分でした。蟹の安吉で、美味しかったので、お取り寄せで充分です。,富山市
2025/11/5,東京都,男性,70代,定年退職,6: 無回答,夫婦,2泊,石川県,1泊,富山市,夕・朝２食付き,,,,,,,自家用車,自家用車,普通,２回目,"温泉や露天風呂, 地元の美味しいものを食べる, ドライブ・ツーリング","富山県内市町村の観光公式サイト,",旅行ガイドブック,ない,,,"3,000円以上5,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満","五箇山, 富山県美術館",回転寿司店（地元）,持ち帰り（道の駅・スーパーなど）,"ブリ, 甘エビ, バイガイ","ブリ, 甘エビ",満足,満足,普通,満足,普通,小松空港でF14の離発着を見たこと、 爆音、スピード感を体感。,北陸道の改修工事区間が多かった。,海の幸,立山連峰がきれいに見えた。,6,機会があれば行きたい,泉質が良い温泉,富山市
2025/11/5,富山県,女性,60代,パート・アルバイト,3: 600〜1000万円,友人・知人,1泊,長野県,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,満足,２回目,"宿でのんびり過ごす, 温泉や露天風呂, 名所、旧跡、寺社仏閣の観光",宿泊施設のウェブサイト,口コミ（友人・恋人）,ない,,,使わない,"5,000円以上10,000円未満","10,000円以上20,000円未満",使わない,"1,000円未満",勝興寺,食べていない,食べていない,"ブリ, 甘エビ","ブリ, 甘エビ",満足,満足,普通,普通,満足,,,,勝興寺,5,富山県在住,,氷見市
2025/11/5,富山県,男性,60代,経営者・役員,4: 1000〜2000万円,夫婦,4泊以上,長野県,4泊以上,氷見市,夕・朝２食付き,小矢部市,夕・朝２食付き,小矢部市,夕・朝２食付き,立山町,夕・朝２食付き,レンタカー,レンタカー,大いに満足,７回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光, 買い物（工芸品・特産品など）, まちあるき、都市散策各種体験（手作り、果物狩りなど）, スキー・スノボ・マリンスポーツ, ドライブ・ツーリング, 友人・親戚を訪ねる, 移住先や二拠点居住を視察する","Facebook, YOUTUBE, 富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト, メルマガ（県・市町村）, デジタルニュース, 宿泊予約Webサイト,","口コミ（友人・恋人）, 口コミ（家族）, 口コミ（同僚・同級生）, 観光展・物産展, 富山県観光公式のパンフレット, テレビ番組, 新聞特集記事, 雑誌の特集記事, 旅行会社のパンフレット, 旅行ガイドブック,",ある,"群馬県, 埼玉県, 新潟県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 愛知県",金沢,"100,000円以上","100,000円以上","100,000円以上","100,000円以上","100,000円以上","雨晴海岸, 宇奈月温泉, 海王丸パーク, 黒部ダム, 国宝 高岡山瑞龍寺, 庄川峡遊覧船, 新湊大橋, 新湊きっときと市場, 高岡大仏, 砺波チューリップ公園",回転寿司店（地元）,駅（売店・自販機など）,"ブリ, フクラギ（イナダ、ハマチ）, シロエビ, ホタルイカ","ブリ, フクラギ（イナダ、ハマチ）, シロエビ, ホタルイカ",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,富山でしか得られないものがある,わかりにくい,お刺身,すべて,10,機会があれば行きたい,金沢のほうが 旅行気分を楽しませてくれる。,小矢部市
2025/11/5,富山県,女性,50代,会社員,3: 600〜1000万円,大人の家族（18歳以上の子供含む）,日帰り,,,,,,,,,,,県外から訪れていない（富山県在住）,"自家用車, 徒歩",不満,１０回目以上,"地元の美味しいものを食べる, 文化施設の見学・体験（美術館・博物館など）, まちあるき、都市散策各種体験（手作り、果物狩りなど）, 友人・親戚を訪ねる",Instagram,口コミ（友人・恋人）,ない,,,"3,000円以上5,000円未満","3,000円以上5,000円未満",使わない,"1,000円以上3,000円未満",使わない,御車山会館,食べていない,食べていない,食べていない,食べていない,満足,普通,普通,普通,普通,,,,,8,富山県在住,,高岡市
2025/11/6,富山県,男性,60代,無職,1: 300万円未満,夫婦,日帰り,,,,,,,,,,,県外から訪れていない（富山県在住）,"自家用車, 徒歩",普通,１０回目以上,"地元の美味しいものを食べる, その他スポーツ（ゴルフ、テニスなど）, 健康を増進する","富山県内市町村の観光公式サイト, SNS広告","口コミ（家族）, 雑誌の特集記事, 旅行会社のパンフレット",ない,,,"1,000円未満","1,000円以上3,000円未満",使わない,"3,000円以上5,000円未満","1,000円未満",大岩山,回転寿司店（チェーン店）,食べていない,"ブリ, フクラギ（イナダ、ハマチ）","ブリ, フクラギ（イナダ、ハマチ）",満足,普通,普通,普通,普通,,,,,8,富山県在住,,富山市
2025/11/6,群馬県,無回答,60代,自営業,4: 1000〜2000万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,入善町,朝食のみ,,,,,,,自家用車,自家用車,満足,２回目,"温泉や露天風呂, 地元の美味しいものを食べる","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト",旅行ガイドブック,ない,,,"30,000円以上40,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","3,000円以上5,000円未満","宇奈月温泉, 新湊きっときと市場",居酒屋・レストラン（地元）,持ち帰り（道の駅・スーパーなど）,"フクラギ（イナダ、ハマチ）, 甘エビ",甘エビ,満足,満足,大いに満足,満足,大いに満足,美味しい食事と紅葉　農産物直売所での新鮮な野菜を買いました。,特になし,寿司,宇奈月温泉,10,機会があれば行きたい,特にありません,入善町
2025/11/6,群馬県,女性,60代,自営業,4: 1000〜2000万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,入善町,朝食のみ,,,,,,,自家用車,自家用車,満足,２回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 買い物（工芸品・特産品など）",富山県観光公式サイト「とやま観光ナビ」,旅行ガイドブック,ない,,,"30,000円以上40,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","宇奈月温泉, 黒部峡谷鉄道, 新湊きっときと市場",居酒屋・レストラン（地元）,食べていない,"ブリ, フクラギ（イナダ、ハマチ）, 甘エビ",甘エビ,満足,満足,満足,満足,満足,食事　紅葉　農産物直売所での新鮮な野菜類の買い物　どれも最高です,特になし,海鮮丼,紅葉,10,機会があれば行きたい,夜道を歩く際　裏道は暗くて怖かった,入善町
2025/11/6,愛知県,女性,60代,パート・アルバイト,2: 300〜599万円,大人の家族（18歳以上の子供含む）,2泊,岐阜県,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,満足,１０回目以上,"温泉や露天風呂, 地元の美味しいものを食べる, 友人・親戚を訪ねる",宿泊予約Webサイト,口コミ（家族）,ある,石川県,金沢,"40,000円以上50,000円未満","5,000円以上10,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満","1,000円未満","雨晴海岸, 五箇山",回転寿司店（地元）,回転寿司店（地元）,"フクラギ（イナダ、ハマチ）, 甘エビ","フクラギ（イナダ、ハマチ）, 甘エビ, ホタルイカ",満足,満足,普通,満足,満足,昔から変わらない部分　観光地や宿泊施設の維持や環境整備にはご苦労有ると思いますが、両親の産まれ育った地元だから、ずっと同じ場所を訪れます！温泉♨️の質と新鮮な魚のご馳走が気に入ってる。,今は〜無い　かな,もずく、豆腐…特別じゃ無くても,釣り場がある　海岸で手軽にキス釣り,9,来年もまた行きたい,インバウンドに合わせていない日本人向け　長く通いたいので、綺麗な風呂場　新鮮な魚野菜の献立　沢山要らない！今回はとても満足でした。,氷見市
2025/11/6,兵庫県,男性,60代,会社員,3: 600〜1000万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,富山市,夕・朝２食付き,,,,,,,レンタカー,自家用車,満足,２回目,温泉や露天風呂,X（旧Twitter）,口コミ（同僚・同級生）,ある,北海道,SAPPORO,使わない,"3,000円以上5,000円未満","1,000円以上3,000円未満","30,000円以上40,000円未満",使わない,あさひ舟川「春の四重奏」,食べていない,駅（売店・自販機など）,シロエビ,ブリ,満足,不満,普通,普通,満足,,,,,1,行きたくない,,富山市
2025/11/6,愛知県,女性,60代,専業主婦・主夫,1: 300万円未満,夫婦,1泊,富山県以外には宿泊しない,1泊,砺波市,夕・朝２食付き,,,,,,,自家用車,自家用車,普通,４回目,"温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光",富山県観光公式サイト「とやま観光ナビ」,"富山県観光公式のパンフレット,",ない,,,"10,000円以上20,000円未満","3,000円以上5,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満","1,000円未満","雨晴海岸,",食べていない,食べていない,"ブリ, 紅ズワイガニ, シロエビ, 甘エビ",シロエビ,大いに満足,満足,満足,満足,満足,美味しい海の幸を食べられて 八日町通りの猫探しも面白かった,特になし  強いて言うなら能越道ので道がガタガタで悪い,のどぐろと白えび,井波 八日町とおり,7,機会があれば行きたい,海の幸が美味しいのが魅力です,砺波市
2025/11/6,愛知県,男性,60代,パート・アルバイト,2: 300〜599万円,夫婦,1泊,富山県以外には宿泊しない,1泊,砺波市,夕・朝２食付き,,,,,,,自家用車,自家用車,普通,４回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",富山県観光公式サイト「とやま観光ナビ」,口コミ（家族）,ある,"山梨県, 長野県, 静岡県",山梨,"3,000円以上5,000円未満","5,000円以上10,000円未満","20,000円以上30,000円未満","3,000円以上5,000円未満","1,000円未満","雨晴海岸,",食べていない,食べていない,"ブリ, 紅ズワイガニ, シロエビ, 甘エビ",シロエビ,満足,満足,満足,満足,満足,美味しかった,なし,のどぐろ,井波,7,来年もまた行きたい,高速道路の路面が悪い,南砺市
2025/11/6,富山県,女性,60代,専業主婦・主夫,1: 300万円未満,夫婦,日帰り,,,,,,,,,,,自家用車,"自家用車, 徒歩",普通,１０回目以上,花見や紅葉などの自然鑑賞,"X（旧Twitter）, Instagram, 富山県観光公式サイト「とやま観光ナビ」","口コミ（友人・恋人）, 口コミ（家族）",ない,,,"1,000円以上3,000円未満","3,000円以上5,000円未満",使わない,"3,000円以上5,000円未満","1,000円未満","富山県美術館, 富山市ガラス美術館, 富山城",専門店,食べていない,"ブリ, フクラギ（イナダ、ハマチ）","ブリ, フクラギ（イナダ、ハマチ）",満足,普通,普通,普通,満足,,,,,8,富山県在住,,富山市
2025/11/6,富山県,女性,60代,会社員,3: 600〜1000万円,友人・知人,日帰り,,,,,,,,,,,自家用車,自家用車,大いに満足,１０回目以上,温泉や露天風呂,富山県観光公式サイト「とやま観光ナビ」,口コミ（友人・恋人）,ない,,,"1,000円未満","1,000円以上3,000円未満",使わない,"1,000円未満",使わない,天湖森,食べていない,食べていない,食べていない,食べていない,満足,大いに満足,大いに満足,大いに満足,大いに満足,温泉の質,なし,なし,野生のサルとの遭遇,10,来年もまた行きたい,温泉が素晴らしい,富山市
2025/11/6,富山県,男性,70代,定年退職,3: 600〜1000万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,大いに満足,１０回目以上,趣味を満喫、推し活（好きなアイドル・アニメなどを）応援する,"富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト","富山県観光公式のパンフレット, テレビ・ラジオ",ない,,,"20,000円以上30,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","雨晴海岸, 国宝 高岡山瑞龍寺, 高岡大仏",回転寿司店（地元）,食べていない,"フクラギ（イナダ、ハマチ）, シロエビ, 甘エビ","ブリ, 紅ズワイガニ, シロエビ, 甘エビ",大いに満足,満足,満足,満足,満足,食べ物が新鮮で美味しかった,無し,寿司の全て,雨晴海岸での絶景,10,富山県在住,体験の充実,氷見市
2025/11/6,北海道,男性,50代,医師,4: 1000〜2000万円,夫婦,3泊,石川県,富山県内には宿泊しない,,,,,,,,,"在来線, 飛行機","レンタカー, 徒歩",満足,２回目,"地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光",富山県観光公式サイト「とやま観光ナビ」,テレビ・ラジオ,ない,,,"5,000円以上10,000円未満","5,000円以上10,000円未満",使わない,"5,000円以上10,000円未満","1,000円以上3,000円未満","岩瀬エリア, 海王丸パーク, 新湊大橋, 新湊きっときと市場, 中島閘門",回転寿司店（地元）,食べていない,"フクラギ（イナダ、ハマチ）, ホタルイカ",フクラギ（イナダ、ハマチ）,満足,普通,普通,大いに満足,満足,中島閘門が素晴らしかった,交通渋滞,お寿司,中島閘門,7,どちらともいえない,温泉が欲しい,富山市
2025/11/7,富山県,男性,60代,定年退職,1: 300万円未満,夫婦,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,自家用車,普通,１０回目以上,"温泉や露天風呂, 地元の美味しいものを食べる",宿泊施設のウェブサイト,富山県観光公式のパンフレット,ない,,,"10,000円以上20,000円未満","1,000円以上3,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","岩瀬エリア, 雨晴海岸, 宇奈月温泉, 海王丸パーク, 黒部峡谷鉄道, 五箇山, 国宝 高岡山瑞龍寺, 庄川峡遊覧船, 称名滝, 新湊大橋, 新湊きっときと市場, 高岡大仏, 砺波チューリップ公園, 富山城, 富岩運河環水公園, ほたるいかミュージアム",回転寿司店（チェーン店）,食べていない,"フクラギ（イナダ、ハマチ）, 紅ズワイガニ, 甘エビ, バイガイ","紅ズワイガニ, 甘エビ",満足,満足,満足,満足,満足,県内在住。キャンピングカーで、全国色々行きましたが、富山は綺麗な場所や、美味しいものも多く、大変良い所だと思います！,イベントに、長蛇の列が…。仕方がないか…。,海鮮(お刺身・カニ)天ぷら,海が、綺麗。,10,富山県在住,テレビ・新聞等での、バス・列車等での、県内の日帰り・宿泊ツアーの紹介、募集を毎週する。,氷見市
2025/11/7,富山県,女性,70代,専業主婦・主夫,1: 300万円未満,夫婦,1泊,石川県,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,普通,３回目,"温泉や露天風呂, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光, まちあるき、都市散策各種体験（手作り、果物狩りなど）",宿泊予約Webサイト,口コミ（友人・恋人）,ない,,,"1,000円未満","1,000円以上3,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","雨晴海岸, 国宝 高岡山瑞龍寺, 高岡大仏, 富山市ガラス美術館",食べていない,食べていない,ブリ,ブリ,大いに満足,大いに満足,普通,普通,満足,キャンペーン割引があり良かった,無いです,鰤刺身や富山牛,今回はない,8,富山県在住,旬の食材を使った美味しい料理 四季折々の見どころ 少々交通の不便差はある,高岡市
2025/11/7,岐阜県,男性,40代,会社員,2: 300〜599万円,夫婦,日帰り,,,,,,,,,,,自家用車,"自家用車, 徒歩",満足,１回目,"地元の美味しいものを食べる, 買い物（工芸品・特産品など）",Facebook,旅行ガイドブック,ない,,,"5,000円以上10,000円未満","5,000円以上10,000円未満",使わない,"10,000円以上20,000円未満","5,000円以上10,000円未満","雨晴海岸, 海王丸パーク, 新湊きっときと市場",食べていない,食べていない,"紅ズワイガニ, シロエビ, ホタルイカ","紅ズワイガニ, シロエビ, ホタルイカ",大いに満足,普通,大いに満足,大いに満足,大いに満足,,,,,9,機会があれば行きたい,,高岡市
2025/11/7,富山県,女性,20代,パート・アルバイト,2: 300〜599万円,子供連れ家族（一番下のお子様が未就学児）,日帰り,,,,,,,,,,,自家用車,自家用車,大いに満足,５回目,温泉や露天風呂,宿泊施設のウェブサイト,口コミ（家族）,ない,,,"1,000円以上3,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満",宇奈月温泉,食べていない,食べていない,食べていない,食べていない,満足,満足,満足,満足,満足,,,,,10,機会があれば行きたい,,小矢部市
2025/11/7,静岡県,男性,60代,定年退職,1: 300万円未満,夫婦,1泊,岐阜県,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,普通,２回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる","Instagram, 富山県観光公式サイト「とやま観光ナビ」","観光展・物産展, 富山県観光公式のパンフレット,",ない,,,"3,000円以上5,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満","五箇山, 砺波チューリップ公園",回転寿司店（地元）,回転寿司店（地元）,"ブリ, 甘エビ, バイガイ","ブリ, バイガイ",満足,満足,満足,満足,満足,美味しかった,特に無し,甘エビの寿司,氷見漁港,9,機会があれば行きたい,富山湾の海の幸をInstagramでPRして下さい。,氷見市
2025/11/7,神奈川県,女性,60代,パート・アルバイト,6: 無回答,夫婦,2泊,富山県以外には宿泊しない,2泊,魚津市,朝食のみ,魚津市,朝食のみ,,,,,新幹線,"在来線・私鉄・路面電車, レンタサイクル",大いに満足,１回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト",観光展・物産展,ない,,,"20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","岩瀬エリア, 雨晴海岸, 宇奈月温泉, 黒部峡谷鉄道, 富岩運河環水公園",専門店,持ち帰り（道の駅・スーパーなど）,"ブリ, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ, ゲンゲ, バイガイ","ブリ, 紅ズワイガニ, ホタルイカ, バイガイ",大いに満足,満足,満足,大いに満足,大いに満足,季節の料理を味わい、景色もちょうど紅葉が盛りで、とても良かったです。トロッコ列車楽しかったです。魚津ミラージュランドの観覧車も！,,べにずわいがに,トロッコ列車,10,機会があれば行きたい,鉄道での移動は、もう少し便を増やしてほしい。,魚津市
2025/11/7,京都府,男性,50代,公務員,4: 1000〜2000万円,ひとり,1泊,富山県以外には宿泊しない,1泊,富山市,夕・朝２食付き,,,,,,,バイク,バイク,大いに満足,３回目,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞","Instagram, 富山県観光公式サイト「とやま観光ナビ」, 宿泊施設のウェブサイト, 宿泊予約Webサイト",テレビ・ラジオ,ない,,,"20,000円以上30,000円未満","3,000円以上5,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満","3,000円以上5,000円未満","雨晴海岸, 新湊大橋, 新湊きっときと市場",専門店,食べていない,"ブリ, シロエビ","ブリ, シロエビ",大いに満足,満足,満足,満足,満足,,,,,8,機会があれば行きたい,,富山市
